id;year;htl;htl_esp;tca_hhi;tourbgt;bgt;tnf_pct;gmp;gmp_srv_pct;tax_adm;loans;n_bsns;flypax;w_inet;educ
1100015;2007;5;0,247035573;0,560047562;0;23841818,48;101,9016852;191364;24,232353;42,07426684;9;49;0;72,18161924;3,675
1100015;2008;5;0,245579568;0,474435196;0;27756015,98;102,5906368;248962;24,42260265;38,77579711;11;167;0;86,56892102;3,7625
1100015;2009;8;0,35971223;0,388137357;10000;35397764,31;101,3141288;256986;23,76899909;40,49636945;16;68;0;112,4427715;3,85
1100015;2010;9;0,362756953;0,319727891;10000;40565143,36;102,1080864;262077;23,84642681;43,57574301;24;131;0;135,4906235;3,8125
1100015;2011;8;0,323101777;0,324196597;17000;38984424,76;103,4137733;280510;23,34533528;44,11750027;25;173;0;172,265311;3,775
1100015;2012;8;0,307810696;0,349421488;0;45814595,71;101,5430488;329029;21,67894015;40,32136985;26;261;0;179,1100449;4,2
1100015;2013;9;0,288554024;0,353634013;0;37997341,52;92,1537091;341325;21,3945653;40,17051198;19;160;0;180,0209783;4,625
1100015;2014;10;0,336927224;0,439513478;0;44669957,19;91,04240333;377799;23,22690108;38,45166345;40;174;0;186,7928648;4,8125
1100015;2015;4;0,137127185;0,494147987;0;45791140,51;89,20270115;421300;23,44623784;36,90268217;6;169;0;252,4918266;5
1100015;2016;7;0,226683938;0,424282229;0;50708094,96;89,45633841;478217;23,95167884;34,69868282;9;242;0;289,5562016;4,96875
1100015;2017;1;0,034482759;0,505190311;0;55991083,53;89,58133525;485374;22,32443435;37,09531207;3;181;0;310,1859285;4,9375
1100015;2018;2;0,067727735;0,589317208;0;53426690,33;89,00307274;498980;24,75089182;36,78023167;1;176;0;391,8237415;4,99375
1100015;2019;8;0,284596229;0,518598616;0;58297246,45;88,82333768;495775;26,28490747;37,98577984;2;202;0;441,8733968;5,05
1100049;2007;153;1,325019486;0,336223994;120401;82564375,46;72,87591502;814890;37,75221195;36,96719803;41;207;0;206,6838802;3,783333333
1100049;2008;126;1,052104208;0,322964876;133951,98;86105263,51;87,71281582;928699;39,66075122;37,44108694;64;379;0;280,2459109;3,875
1100049;2009;138;1,058363371;0,332218729;109269,72;94482783,09;87,45102341;985479;40,97144637;38,68626323;33;276;0;346,9709032;3,966666667
1100049;2010;140;0,992415113;0,338069759;55143,6;102883941;61,07853733;1186494;39,2287698;37,3989249;61;625;0;453,999744;4,325
1100049;2011;173;1,177591723;0,305305251;67866;119578750,6;84,34384336;1259024;40,62789907;38,43969615;67;566;133567;460,7377604;4,683333333
